version, 0.000000
codebook_name, LT2v0
bit_names, RS0015, RS0083, RS0095, RS0109, RS0175, RS0237, RS0247, RS0255, RS0307, RS0332, RS0343, RS0384, RS0406, RS0451, RS0468, RS0548, RS0578, RS0584, RS0639, RS0707, RS0708, RS0730, RS0763, RS0793, RS0805, RS0820
name, id, barcode
Rspo3, ENSMUST00000215256.2, 00000000000011000011000000
Grhl2, ENSMUST00000022895.15, 00100001000000000001001000
Pdgfa, ENSMUST00000076095.14, 00000000100000010100001000
Cldn5, ENSMUST00000043577.3, 00000100000010000100000010
Col18a1, ENSMUST00000105409.8, 00000001000010000010000001
Hand1, ENSMUST00000160392.9, 00110000000000110000000000
Ddt, ENSMUST00000001716.8, 00000000000110000001100000
Trpm3, ENSMUST00000237357.2, 00001000000001000100000010
Cdh6, ENSMUST00000036439.6, 00000000000000000000110011
Hhex, ENSMUST00000025944.9, 00000110100100000000000000
Ascl1, ENSMUST00000020243.10, 11000000000000001100000000
Vegfc, ENSMUST00000033919.6, 00000000000000001100001100
Pou4f1, ENSMUST00000053016.10, 00000011000011000000000000
Gng11, ENSMUST00000031670.10, 10000000010000001000000001
Utf1, ENSMUST00000168457.3, 00010100000000000001010000
Ccl3, ENSMUST00000001008.6, 00000101000000000101000000
Dlx1, ENSMUST00000037119.4, 00000000000001011010000000
Frzb, ENSMUST00000028389.4, 00000100100000000000100001
Hcn1, ENSMUST00000207599.2, 00001001000000000000100100
Fabp3, ENSMUST00000070532.8, 00001001000000001001000000
Hbb-bs, ENSMUST00000023934.8, 10000001000000001000000100
Gjb3, ENSMUST00000106091.9, 00000000100000100001010000
Sema3a, ENSMUST00000030714.9, 10000001000000000010010000
En2, ENSMUST00000036177.9, 00111100000000000000000000
Nkx2-4, ENSMUST00000067020.3, 00000000000001100110000000
